rank,feature,score,p_value
1,255.537558300781,651.8152654368911,1.626840443938435e-130
2,142.766562207031,537.7002900319839,9.963832623555324e-110
3,142.624640209961,484.2843705880629,9.093490590029337e-100
4,192.990668041992,478.87860900415194,9.444734669222023e-99
5,143.030997021484,476.36422550309294,2.8087460894716658e-98
6,193.067511303711,471.7235254375818,2.1037940356527946e-97
7,283.533011181641,428.19247409959274,3.830476723153798e-89
8,143.106940014648,412.89697209030743,3.240219914654529e-86
9,283.260611279297,410.300294656097,1.0205688139895067e-85
10,560.249228222656,375.64491755043673,4.959239236117026e-79
11,113.088675244141,374.0619942660531,1.0057165949377091e-78
12,112.855726940918,361.22203049354687,3.15196407472166e-76
13,127.72955201416,358.66420386154095,9.93052866123725e-76
14,185.060965283203,355.4874995679288,4.135081020503996e-75
15,113.023337109375,352.85303222870965,1.3511347990439551e-74
16,113.363295300293,351.73756717587855,2.231238900178523e-74
17,255.233145458984,344.7416566698955,5.205933028766286e-73
18,184.070334179688,344.57085207120963,5.622547294668298e-73
19,192.52146027832,343.0421878658423,1.120061259758261e-72
20,112.575201733398,322.7917396819283,1.0649570038655326e-68
21,282.68520234375,297.9970443129992,8.544732184698332e-64
22,319.122580273438,293.88521382011595,5.605772607700234e-63
23,127.880064709473,290.1795480002229,3.0603164436833594e-62
24,112.677366955566,282.5170860740525,1.0296089667504903e-60
25,185.39826081543,272.3220233590488,1.1217816231130496e-58
26,271.553030712891,258.9689503006528,5.346343486972652e-56
27,276.111777050781,251.90452810160022,1.410890984055499e-54
28,264.101553662109,241.18356328313638,2.0547678664140104e-52
29,390.156973583984,233.9117708425024,6.085271263631129e-51
30,238.083349926758,233.76324216887392,6.521866701307324e-51
31,290.60903046875,228.839795904762,6.496483887035117e-50
32,152.051352246094,224.048041653918,6.106681122898374e-49
33,388.160910351563,222.0870224561678,1.5292950834550014e-48
34,272.0899875,220.65759654609377,2.9871789099276393e-48
35,117.019064648438,218.48061592464157,8.286212678771634e-48
36,417.629965527344,214.03777289234856,6.662098603353773e-47
37,290.113425,210.84277373631616,2.9882881234634017e-46
38,271.114432080078,200.65088230835832,3.624446959743761e-44
39,220.069006665039,196.09838989735874,3.1067391200320595e-43
40,128.0353,194.2500485194179,7.43938385887204e-43
